	embryo2_1	embryo2_1	embryo2_2	embryo2_2	embryo2_3	embryo2_3	embryo2_4	embryo2_4	embryo2_5	embryo2_5	embryo2_6	embryo2_6	embryo2_7	embryo2_7	embryo2_8	embryo2_8	embryo2_9	embryo2_9	embryo2_10	embryo2_10	embryo4_1	embryo4_1	embryo4_1	embryo4_1	embryo4_2	embryo4_2	embryo4_2	embryo4_2	embryo4_3	embryo4_3	embryo4_3	embryo4_3	embryo4_4	embryo4_4	embryo4_4	embryo4_4	embryo4_5	embryo4_5	embryo4_5	embryo4_5
ENSMUSG00000000131	5512960.0	2375120.0	3053210.0	4519740.0	5148170.0	2376130.0	2357170.0	3052580.0	1149930.0	1967860.0	2645870.0	1724330.0	3339650.0	1954490.0	905.2	833313.0	1050520.0	3283580.0	5326610.0	2571940.0	5257070.0	2515650.0	1809250.0	4529560.0	4891670.0	3144340.0	4978950.0	901543.0	5771950.0	2804600.0	1591780.0	2072830.0	2585450.0	1594560.0	1605100.0	3074520.0	1876210.0	3688150.0	6085640.0	544294.0
ENSMUSG00000000134	336745.0	411863.0	404625.0	271312.0	28915.5	332833.0	24600.5	115841.0	108198.0	1225390.0	311824.0	12681.1	2189450.0	204890.0	573.5	19559.8	1853.7	593731.0	660997.0	39651.8	135892.0	0.0	722.5	3139.6	354972.0	271131.0	309735.0	4785.7	0.0	50536.6	0.0	98868.8	1914.1	371498.0	59439.5	12559.0	9104.1	7056.8	19154.6	138365.0
ENSMUSG00000000142	528775.0	349423.0	563200.0	144542.0	196636.0	240398.0	361651.0	297785.0	255165.0	375101.0	376375.0	506013.0	168046.0	33899.2	259812.0	23264.2	32827.3	82731.1	1582.7	298723.0	25022.3	45408.4	60520.4	152265.0	212231.0	29196.3	178853.0	58670.0	24041.0	199142.0	300990.0	269598.0	0.0	39071.7	0.0	0.0	199908.0	2584.9	0.0	110468.0
ENSMUSG00000000148	202671.0	185180.0	1112940.0	137398.0	47160.4	851139.0	577603.0	66403.9	75251.6	403858.0	2449.4	40440.7	356978.0	286013.0	21732.8	48109.1	4850.9	86238.2	66438.0	291210.0	176544.0	4193.7	358891.0	97745.4	124267.0	457747.0	8762.5	20300.8	33114.5	185748.0	26276.0	59395.4	20986.1	88668.2	2323.7	6959.2	17785.4	654257.0	3632.7	33178.3
ENSMUSG00000000149	260181.0	361261.0	993069.0	468258.0	211776.0	911634.0	576303.0	770824.0	835247.0	721714.0	1078950.0	175894.0	848809.0	575336.0	1081610.0	672511.0	159516.0	304260.0	608574.0	312637.0	8491.5	11579.7	109033.0	337095.0	535365.0	100978.0	261516.0	426027.0	197870.0	101407.0	1249970.0	154374.0	147225.0	269063.0	4899.1	388169.0	1838.6	5895.3	356575.0	439023.0
ENSMUSG00000000167	95977.6	2834.6	1356330.0	82485.6	0.0	0.0	580036.0	0.0	2200630.0	0.0	0.0	0.0	19061.8	0.0	0.0	0.0	1130690.0	2962.0	9515.2	395093.0	45263.0	663440.0	694976.0	758628.0	372678.0	25593.6	261297.0	0.0	1136140.0	14493.5	0.0	13106.9	0.0	0.0	0.0	319630.0	0.0	2198360.0	89010.6	0.0
ENSMUSG00000000168	75806.6	54931.1	276092.0	41530.6	531629.0	815.9	0.0	339037.0	1106370.0	176635.0	57063.0	2633890.0	1106570.0	1271.7	311395.0	30277.3	804829.0	0.0	58782.2	1037.6	584470.0	2389.4	389703.0	146278.0	239367.0	88444.8	1011700.0	47016.2	14591.4	14089.2	48278.0	1211650.0	0.0	39591.1	2512.8	2196.3	11904.1	949572.0	12520.7	30120.6
ENSMUSG00000000171	179071.0	1555750.0	1618390.0	1263710.0	2179630.0	1113290.0	0.0	328498.0	1193530.0	2087750.0	5661.6	0.0	442751.0	199555.0	474185.0	1889650.0	20517.8	801497.0	1761660.0	951523.0	1220870.0	2455380.0	1818340.0	1671230.0	987220.0	666451.0	1402890.0	1861270.0	2065720.0	1927700.0	1283710.0	2969980.0	2361370.0	1661880.0	3058900.0	1165470.0	2940410.0	3532620.0	1478850.0	1773460.0
ENSMUSG00000000184	742.3	2138.0	119608.0	16307.4	3982.0	112879.0	5477.1	1018.5	154872.0	658.9	0.0	0.0	0.0	6424.3	0.0	1013.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	770.5	0.0	0.0	0.0	0.0
ENSMUSG00000000194	2916440.0	1615080.0	1326130.0	2991380.0	2776990.0	6115670.0	661124.0	41703.5	2181570.0	105946.0	3833050.0	1523.3	2907390.0	4968730.0	14116.5	4005640.0	34691.6	802302.0	3182490.0	3209720.0	4555460.0	4893030.0	3341200.0	4507470.0	2165640.0	8356250.0	2841930.0	2404110.0	1330790.0	2807960.0	2200110.0	5160180.0	706225.0	5061880.0	248836.0	4147740.0	5337690.0	3001610.0	2248420.0	1867990.0
ENSMUSG00000000197	7195.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	751.8	0.0	0.0	0.0	0.0	0.0	653.1	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000214	1125690.0	440809.0	447644.0	604585.0	932050.0	114146.0	1901950.0	706200.0	1196580.0	884737.0	1682640.0	1138660.0	647655.0	714647.0	816964.0	46782.1	6378.2	68729.1	1729990.0	846250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60792.9	0.0	0.0	0.0	0.0	7756.6	0.0	0.0	0.0
ENSMUSG00000000247	3356.3	0.0	2688.5	8373.0	88260.4	0.0	0.0	2379.0	0.0	0.0	51145.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7614.6	0.0	0.0	0.0
ENSMUSG00000000253	338080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179913.0	437807.0	546037.0	0.0	0.0	880375.0	0.0	633353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154289.0	0.0	0.0
ENSMUSG00000000275	126318.0	238056.0	31531.6	3478.3	14223.1	92857.3	0.0	133217.0	26642.3	4600.7	397509.0	3281.6	266233.0	143845.0	8260.7	178443.0	56293.2	68768.2	404.7	165546.0	139141.0	160519.0	272514.0	148661.0	0.0	12506.1	0.0	80287.2	45759.8	52811.5	120628.0	284553.0	4844.7	158149.0	4721.6	114712.0	70255.8	316771.0	10564.0	13531.6
ENSMUSG00000000276	291347.0	189189.0	460299.0	527998.0	466220.0	401264.0	425490.0	492325.0	399466.0	407929.0	540842.0	306383.0	503374.0	290316.0	297164.0	605266.0	493575.0	255433.0	494837.0	503705.0	197707.0	24346.5	175881.0	31333.6	412437.0	467710.0	403983.0	256282.0	699943.0	69343.4	333717.0	164698.0	305941.0	8472.5	271302.0	407691.0	252710.0	296622.0	167461.0	117037.0
ENSMUSG00000000278	1389230.0	2126360.0	711002.0	1749310.0	1200980.0	1765720.0	1510080.0	1202270.0	1210960.0	1056090.0	469853.0	840867.0	1262800.0	869096.0	2021720.0	2151510.0	1477500.0	1410930.0	1865080.0	1744490.0	3330470.0	1840800.0	2181230.0	2734360.0	2321480.0	2734120.0	2835030.0	2647700.0	2449430.0	1435430.0	2253640.0	3036140.0	2413590.0	2569920.0	1911560.0	2443480.0	3296970.0	2636700.0	2512200.0	1963030.0
ENSMUSG00000000282	2291.1	7259.6	72411.4	4438.6	11425.9	30095.5	755.2	0.0	75022.3	82466.0	18646.7	0.0	568.5	14625.1	0.0	7249.1	258581.0	24823.4	0.0	1506.0	51358.1	15923.4	8495.4	45016.5	61160.9	22820.3	8721.5	47439.9	17576.0	27868.3	158698.0	10648.1	0.0	23488.5	7222.4	0.0	251860.0	37060.1	175976.0	62834.1
ENSMUSG00000000295	15871.0	0.0	0.0	560542.0	376272.0	13160.5	0.0	238510.0	394244.0	0.0	0.0	117577.0	0.0	0.0	25568.5	761452.0	0.0	0.0	0.0	0.0	800733.0	1484.9	414329.0	487485.0	568582.0	1387990.0	929247.0	8521.0	0.0	1921370.0	22755.2	20883.6	760673.0	796261.0	10228.9	0.0	913156.0	18458.9	853697.0	732711.0
ENSMUSG00000000301	5849700.0	7908110.0	8512020.0	9488240.0	11176200.0	15145400.0	11174700.0	5164260.0	16100000.0	11989900.0	14664500.0	11125400.0	10514000.0	11417800.0	21547100.0	16761200.0	16455000.0	8758810.0	17139300.0	24034900.0	28414800.0	22123700.0	34116400.0	24544500.0	27768600.0	27013900.0	26007200.0	26325100.0	22943200.0	21177600.0	19862300.0	21990600.0	33901000.0	29568200.0	28731900.0	24615600.0	31569600.0	30861100.0	40108800.0	25066100.0
ENSMUSG00000000303	203071.0	296175.0	120482.0	22722.9	39722.6	29610.7	48004.3	285656.0	98851.1	13380.5	262188.0	168713.0	190922.0	92510.0	0.0	0.0	0.0	281992.0	1200.8	783727.0	128417.0	1171470.0	798060.0	261821.0	137414.0	353146.0	49318.2	583943.0	131846.0	1289.9	91509.5	40941.9	194786.0	370919.0	71296.2	453044.0	167132.0	328468.0	24284.0	665662.0
ENSMUSG00000000305	1356.3	6359.5	86429.4	444.7	18153.9	148670.0	493167.0	175119.0	44455.4	43185.9	21036.8	20842.7	1296460.0	516.0	4345.9	0.0	2033.3	138694.0	95035.0	3358.5	829.0	1246.5	12500.8	55005.1	14281.1	753.6	0.0	1200.6	141794.0	1633.0	810.0	3682.2	712.3	0.0	0.0	3992.6	1687.4	10618.8	370245.0	155473.0
ENSMUSG00000000308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	577879.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3228110.0	3936330.0	4082720.0	7727480.0	18755.4	172252.0	1695310.0	13291.3	2090350.0	1543410.0	4068330.0	4546560.0	5890630.0	3115050.0	1000620.0	8198080.0	2970790.0	2775920.0	9457150.0	902043.0
ENSMUSG00000000318	30304.0	0.0	535807.0	0.0	889445.0	1413420.0	1404190.0	848540.0	1097290.0	1829120.0	661457.0	792188.0	3396370.0	329439.0	1150930.0	2166010.0	1249450.0	0.0	0.0	2980260.0	0.0	1062710.0	1031800.0	88099.2	48992.4	5282.8	951695.0	1870780.0	516230.0	106897.0	1018020.0	2617360.0	0.0	0.0	25599.3	0.0	0.0	0.0	629935.0	0.0
ENSMUSG00000000320	539849.0	493808.0	502957.0	799538.0	991314.0	621277.0	651769.0	533070.0	748922.0	731563.0	679324.0	646207.0	518192.0	1073160.0	884572.0	904074.0	643457.0	323456.0	494822.0	651385.0	430427.0	316720.0	356421.0	255371.0	337018.0	469557.0	324894.0	191286.0	597694.0	850200.0	1041900.0	281864.0	322434.0	558471.0	643339.0	349529.0	653974.0	832509.0	663559.0	531924.0
ENSMUSG00000000325	1432.4	0.0	0.0	11429.2	0.0	0.0	0.0	0.0	0.0	3356.7	186239.0	0.0	1917.4	0.0	0.0	4091.7	4639.5	612825.0	728094.0	144406.0	43666.5	1417060.0	65064.7	80126.9	4841.6	82782.5	5576.6	95218.6	367726.0	2224.9	4441.5	10862.3	0.0	22736.8	5375.6	4001.0	3133.8	4764.1	2086.2	117229.0
ENSMUSG00000000326	259235.0	153805.0	436263.0	484509.0	172441.0	364327.0	149206.0	140723.0	177238.0	197861.0	83827.0	85051.8	56352.9	97833.4	108038.0	90930.7	130899.0	68124.2	229657.0	105045.0	1852640.0	926463.0	660192.0	550052.0	304430.0	501852.0	1559620.0	722118.0	371661.0	340359.0	2077420.0	1086210.0	288654.0	1380290.0	643278.0	1650500.0	1521560.0	368630.0	967238.0	620742.0
ENSMUSG00000000339	240837.0	387970.0	2568.8	217193.0	198879.0	0.0	838710.0	311153.0	333368.0	361924.0	191895.0	94548.7	24519.2	483690.0	0.0	863296.0	8208.5	1019150.0	609966.0	1155640.0	285791.0	0.0	80870.7	427605.0	0.0	296383.0	1141430.0	4334.1	20502.2	46930.2	561150.0	20136.1	0.0	555469.0	17938.6	207172.0	66004.7	887943.0	0.0	0.0
ENSMUSG00000000340	993190.0	242720.0	405205.0	389942.0	965106.0	880956.0	324147.0	530076.0	584358.0	645259.0	189755.0	256362.0	196397.0	452369.0	289376.0	545498.0	3112.7	80668.2	386823.0	387005.0	818780.0	594110.0	449716.0	287395.0	864032.0	342836.0	625856.0	825903.0	922242.0	179516.0	672809.0	145247.0	77863.9	406588.0	182537.0	173195.0	739316.0	173184.0	612470.0	657635.0
ENSMUSG00000000346	1613700.0	2184430.0	1203120.0	2106580.0	2489620.0	2005290.0	2307920.0	2345970.0	1995180.0	2174400.0	1061210.0	1658140.0	1487100.0	1358620.0	2801810.0	1436120.0	1665110.0	1574270.0	2168200.0	2316510.0	3210890.0	2167300.0	2118870.0	2254990.0	2276390.0	2946280.0	2416080.0	2698140.0	1690900.0	1969060.0	3364950.0	2729940.0	2449160.0	2378380.0	3656190.0	2583950.0	3513420.0	3135730.0	2977780.0	2699840.0
ENSMUSG00000000355	3526970.0	1737990.0	3672510.0	6837500.0	5501470.0	7880500.0	2997990.0	1685500.0	2638990.0	6517910.0	3234480.0	6531830.0	2375350.0	11441700.0	9293230.0	1128850.0	2692110.0	8687490.0	6047290.0	8221780.0	6851880.0	6239130.0	7244500.0	4883820.0	11555900.0	7028590.0	10437400.0	10078700.0	9932060.0	13049200.0	11969000.0	6609220.0	5847110.0	13156500.0	9652450.0	9501750.0	12948300.0	9476880.0	11516800.0	8561450.0
ENSMUSG00000000365	265601.0	102957.0	64848.6	110601.0	243979.0	89577.6	156851.0	51505.2	340667.0	182553.0	191669.0	250599.0	275853.0	268367.0	276289.0	472451.0	106955.0	196077.0	132192.0	228859.0	125084.0	35800.5	78228.2	3060.2	109863.0	84805.8	114867.0	45698.8	150580.0	1049.1	1043.5	253045.0	177356.0	7992.5	920.0	73299.3	953.2	114086.0	14752.4	37084.6
ENSMUSG00000000374	182891.0	185459.0	136368.0	84495.2	71636.1	100597.0	157275.0	29737.7	23246.6	39308.0	199020.0	146882.0	20569.0	80864.5	176424.0	77360.5	49798.3	80611.8	49868.0	101381.0	111996.0	58526.7	64931.5	64366.8	134486.0	74275.5	67581.1	10979.2	98295.2	33168.4	40297.6	107902.0	4267.4	1032.7	10016.8	11177.5	37461.7	79969.7	125425.0	1568.6
ENSMUSG00000000378	19320.6	687174.0	302443.0	886175.0	157017.0	453544.0	2558.0	0.0	894238.0	321337.0	9846.1	0.0	3747.3	0.0	0.0	0.0	0.0	943891.0	0.0	1751650.0	1093850.0	32182.2	0.0	555469.0	104714.0	8255.2	0.0	1391830.0	1322930.0	4490.0	2052920.0	12320.8	0.0	915519.0	38424.7	73431.9	19650.1	0.0	0.0	311054.0
ENSMUSG00000000384	974168.0	467140.0	1903800.0	2599130.0	2020650.0	2807320.0	1412670.0	791326.0	1450840.0	1735760.0	246399.0	26678.6	1942620.0	1131160.0	58399.1	1495700.0	2784.6	341249.0	993812.0	418095.0	5051360.0	2569590.0	2041190.0	2987520.0	2267950.0	3585240.0	2217950.0	1873050.0	346541.0	227951.0	1353300.0	2685230.0	1173580.0	788094.0	1359470.0	2287740.0	5469710.0	3998090.0	4102110.0	4310620.0
ENSMUSG00000000399	1472690.0	1753980.0	1607080.0	1426140.0	1746760.0	1441640.0	475435.0	13827.0	1561930.0	1632110.0	695800.0	1360770.0	1601420.0	1925260.0	3277160.0	1668820.0	2397540.0	1624820.0	2829870.0	2355680.0	3086660.0	2814140.0	2765010.0	4274520.0	3396650.0	3235170.0	4005430.0	2912950.0	2652340.0	2469550.0	4660650.0	3268620.0	4212360.0	2844470.0	4173500.0	2901590.0	4208210.0	3672590.0	4085220.0	2018340.0
ENSMUSG00000000420	49008.6	225943.0	89844.4	382079.0	910002.0	71871.0	50809.5	10761.6	108286.0	226938.0	27919.4	8092.0	95756.5	765296.0	810.4	13065.2	0.0	106561.0	196717.0	470365.0	19847.0	593750.0	14042.0	248574.0	159320.0	1042650.0	10778.5	1317.0	84157.0	823421.0	254567.0	393643.0	95704.8	26386.7	18414.8	157851.0	1146370.0	69509.8	14165.4	15212.6
ENSMUSG00000000439	1785580.0	1773040.0	1095790.0	1334440.0	2079930.0	2232380.0	1232240.0	1128980.0	2116740.0	2086250.0	3188360.0	2541300.0	1807900.0	1963860.0	3076860.0	2947140.0	796089.0	1660670.0	2039630.0	2930560.0	2248600.0	2011550.0	1894230.0	1596650.0	1989000.0	2272130.0	2639750.0	2270590.0	1873570.0	1049520.0	2044990.0	750136.0	1149010.0	1752500.0	2439540.0	2648490.0	2969040.0	2814050.0	1705590.0	2015160.0
ENSMUSG00000000441	1291760.0	1215080.0	527854.0	447901.0	1120360.0	807129.0	1652800.0	1154300.0	1149650.0	1520510.0	1688170.0	1066390.0	889903.0	851024.0	1102740.0	394165.0	870756.0	799664.0	558594.0	789309.0	490637.0	882796.0	541018.0	648284.0	148296.0	520319.0	208412.0	253837.0	1287320.0	465052.0	1425550.0	1208520.0	629744.0	227303.0	143142.0	425869.0	649399.0	245871.0	584263.0	152527.0
ENSMUSG00000000486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18846.9	116632.0	187399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257195.0	0.0	0.0	0.0	778646.0	46173.3	1284470.0	0.0	1159880.0	987794.0	691648.0	618035.0
ENSMUSG00000000489	0.0	58529.3	0.0	0.0	0.0	0.0	0.0	6460.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1296.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76348.8	110343.0
ENSMUSG00000000532	17606.9	22494.3	0.0	0.0	0.0	0.0	0.0	0.0	4546.6	9163.3	46096.3	11805.6	0.0	0.0	0.0	0.0	965.3	8034.9	616.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	991.1	0.0	0.0
ENSMUSG00000000538	182670.0	29602.5	652295.0	483832.0	117831.0	436067.0	297506.0	292348.0	619957.0	300434.0	169263.0	228368.0	286509.0	5935.0	0.0	61079.8	1992.5	118124.0	805502.0	1273.5	45932.6	529876.0	29300.5	679941.0	403642.0	409168.0	488000.0	1148490.0	289238.0	835240.0	155355.0	487796.0	354085.0	221864.0	56764.6	56050.7	223872.0	211734.0	415305.0	815407.0
ENSMUSG00000000552	11834.3	48555.7	14161.4	18353.0	18906.0	9949.6	161378.0	4083.9	2517.7	17254.7	11983.8	0.0	11008.0	18191.0	35939.0	2246.0	46450.7	6349.4	71421.5	7596.2	5979.3	245593.0	7802.8	116589.0	119821.0	11404.9	45406.1	0.0	0.0	0.0	0.0	0.0	2821.7	6924.0	3005.5	28804.0	13445.1	8000.0	0.0	0.0
ENSMUSG00000000555	6460.3	9923.4	151610.0	4854.4	2708.5	0.0	0.0	1514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102868.0	0.0	0.0	10987.6	21255.2	0.0	2071.7	160695.0	10157.7	4369.9	3564.5	6095.0	261055.0	12240.2	14711.4	0.0	0.0	0.0	0.0	2605.1	1024.6	0.0	201948.0
ENSMUSG00000000561	4049060.0	2209940.0	1823320.0	3366480.0	3298990.0	3337360.0	2437380.0	2666490.0	2619580.0	3723880.0	3385140.0	2066490.0	2509530.0	1691000.0	2524290.0	1947470.0	1650330.0	820087.0	2333410.0	3408740.0	7779200.0	5859640.0	6581100.0	7235600.0	6980680.0	8678970.0	8678810.0	7222160.0	7018160.0	5690150.0	7399240.0	6308500.0	5640670.0	5592010.0	5437500.0	5547880.0	5562230.0	4159000.0	4730400.0	4303200.0
ENSMUSG00000000563	7490900.0	7305550.0	10685600.0	13182400.0	12770400.0	6891000.0	9913940.0	8346600.0	12695500.0	10511000.0	24769400.0	12059700.0	6895470.0	10777200.0	29305700.0	21127700.0	18157600.0	14725700.0	16222400.0	14702500.0	7744090.0	8151210.0	8648280.0	6729450.0	9176960.0	7226040.0	8310050.0	10567300.0	9004790.0	11468900.0	8807900.0	8029090.0	7812480.0	9987110.0	7937900.0	11904000.0	10940800.0	8013300.0	9079070.0	7887650.0
ENSMUSG00000000567	2823.4	74148.7	154847.0	0.0	2569.4	1112.5	0.0	2925.9	0.0	70542.7	0.0	1808.6	660.4	3576.2	1051.5	0.0	1099.6	0.0	1617.5	1480.2	2013.5	4516.7	1703.3	3363.1	1647.6	3629.1	0.0	1449.4	7626.0	3730.2	3695.1	0.0	1524.3	5519.6	3355.4	8835.2	5354.6	0.0	3050.4	4394.6
ENSMUSG00000000568	963311.0	3469660.0	1554230.0	1553630.0	6635190.0	2685000.0	2805750.0	2762760.0	2819440.0	1640900.0	2351860.0	3471580.0	1509440.0	2628710.0	3839750.0	4460800.0	189357.0	1845460.0	1307580.0	4171520.0	2451540.0	1415710.0	3973120.0	3762280.0	368561.0	2320270.0	1829740.0	4188360.0	1460970.0	2282010.0	7281390.0	1459080.0	2931990.0	1602200.0	5944000.0	4798850.0	7378810.0	1802060.0	2026580.0	3549280.0
ENSMUSG00000000579	0.0	0.0	113795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32306.7	743242.0	0.0	0.0	0.0	0.0	708780.0	448714.0	0.0	0.0	158381.0	949808.0	0.0	0.0	0.0	840272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000581	6967990.0	4301100.0	5100440.0	12277600.0	8827190.0	5744230.0	6475470.0	2608860.0	7871330.0	5962710.0	4307920.0	4416570.0	4479040.0	9467330.0	11310600.0	9127030.0	11853100.0	5194870.0	8942570.0	11929900.0	4628960.0	9081430.0	8068510.0	9245640.0	8084540.0	5362310.0	6972020.0	4349060.0	9494800.0	14182000.0	5812230.0	14390100.0	8804650.0	12874800.0	8778320.0	9831960.0	12424700.0	13394700.0	8734140.0	10873100.0
ENSMUSG00000000594	698076.0	523048.0	347965.0	615366.0	549789.0	554206.0	447944.0	387006.0	626880.0	816553.0	279897.0	139828.0	333308.0	210800.0	32858.4	32609.8	89748.1	346850.0	819953.0	317530.0	1857740.0	1538630.0	1307080.0	1645710.0	1470750.0	1943480.0	1732000.0	1844240.0	1350100.0	785971.0	1697590.0	1305250.0	1127570.0	1404710.0	1139080.0	1517990.0	1596250.0	1235500.0	1321750.0	1392970.0
