EE50.SLX.8966.N701_N504.bam	EE50.SLX.8966.N701_N505.bam	EE50.SLX.8966.N701_N507.bam	EE50.SLX.8966.N701_N508.bam	EE50.SLX.8966.N702_N501.bam	EE50.SLX.8966.N702_N502.bam	EE50.SLX.8966.N702_N504.bam	EE50.SLX.8966.N702_N506.bam	EE50.SLX.8966.N703_N501.bam	EE50.SLX.8966.N703_N502.bam	EE50.SLX.8966.N703_N507.bam	EE50.SLX.8966.N704_N502.bam	EE50.SLX.8966.N704_N504.bam	EE50.SLX.8966.N704_N505.bam	EE50.SLX.8966.N704_N506.bam	EE50.SLX.8966.N704_N507.bam	EE50.SLX.8966.N704_N508.bam	EE50.SLX.8966.N705_N501.bam	EE50.SLX.8966.N705_N502.bam	EE50.SLX.8966.N705_N504.bam	EE50.SLX.8966.N705_N505.bam	EE50.SLX.8966.N705_N506.bam	EE50.SLX.8966.N705_N507.bam	EE50.SLX.8966.N706_N501.bam	EE50.SLX.8966.N706_N506.bam	EE50.SLX.8966.N706_N507.bam	EE50.SLX.8966.N707_N501.bam	EE50.SLX.8966.N707_N502.bam	EE50.SLX.8966.N707_N503.bam	EE50.SLX.8966.N707_N504.bam	EE50.SLX.8966.N707_N507.bam	EE50.SLX.8966.N707_N508.bam	EE50.SLX.8966.N708_N505.bam	EE50.SLX.8966.N708_N506.bam	EE50.SLX.8966.N708_N508.bam	EE50.SLX.8966.N709_N501.bam	EE50.SLX.8966.N709_N502.bam	EE50.SLX.8966.N709_N504.bam	EE50.SLX.8966.N709_N506.bam	EE50.SLX.8966.N709_N507.bam	EE50.SLX.8966.N709_N508.bam	EE50.SLX.8966.N710_N502.bam	EE50.SLX.8966.N710_N506.bam	EE50.SLX.8966.N710_N507.bam	EE50.SLX.8966.N710_N508.bam	EE50.SLX.8966.N711_N502.bam	EE50.SLX.8966.N711_N507.bam	EE50.SLX.8966.N712_N502.bam	EE50.SLX.8966.N712_N504.bam	EE50.SLX.8966.N712_N505.bam	EE50.SLX.8966.N712_N508.bam
CCNL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	340	0	0	25	0	0	0	0	0	0	0	0	29	0	0	0	0	4	66	0	0	0	0	0	0	0	176	0	0	0	140	0	0
ATAD3C	1128	0	0	0	0	0	311	0	0	0	0	0	0	5	282	0	7	0	0	0	0	69	124	0	0	0	0	0	99	0	0	8	0	0	478	72	0	0	0	0	0	0	0	0	0	23	0	0	114	0	0
ATAD3B	0	39	0	0	0	0	99	0	0	0	0	0	0	0	0	2	12	0	0	0	4	57	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ATAD3A	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-345P4.5	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIB2	0	0	0	0	0	0	0	0	0	0	0	0	0	39	178	0	4	0	0	0	184	0	0	0	0	0	0	0	0	29	0	0	0	0	0	6	0	0	115	198	111	0	0	56	0	0	0	0	0	0	0
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35E2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0
CDK11A	10	0	0	0	1	168	0	0	5	0	1	0	111	5	1	5	14	24	0	0	0	69	56	220	29	195	162	0	0	0	0	9	0	0	109	16	0	0	0	33	0	13	93	0	0	0	81	0	10	489	16
SLC35E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0
NADK	0	0	0	0	0	0	0	0	0	108	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB1	41	0	0	0	1	0	29	55	52	0	1	0	10	1	0	3	38	6	361	0	0	0	2	157	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	2	0
C1orf222	1	0	0	25	1	0	1	0	0	0	0	3	0	0	1	1	0	0	13	1	0	59	0	0	0	11	0	0	0	26	0	0	1	0	0	25	0	0	0	0	0	0	0	28	1	0	0	0	21	253	0
C1orf86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	0	0	0	0	0	0	0	0	0	68	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORN1	2	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	62	0	0	0	0	24	0
PLCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	59	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	63	0	0	1	0	0	0	0	0	69	0	0	0	0	0	71	0	0	0
TTC34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
TP73	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DFFB	0	0	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	11	0	0	90	62	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	9	0	0	0	0	0	0	0	70	0	205	2
CHD5	112	29	32	29	324	271	46	239	0	205	0	222	62	105	73	466	32	304	420	188	27	98	139	0	145	0	35	983	227	99	149	159	1	0	174	57	148	380	224	238	125	47	197	35	295	39	12	38	174	379	59
RNF207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	56	0	0	0	0	0	0	0	0	0	0	0
ICMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	13	0	0	0	0	0	0	0	0	0	0	0
HES2	0	0	0	0	0	0	1	176	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ESPN	0	0	0	0	0	0	4	1	0	0	0	0	0	1	6	0	0	0	0	8	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	0	0	0	0	0	0	654	4	0	0	0	0	572	3	214	0	0	0	0	81	0	56	0	0	14	0	0	0	0	0	0	1	0	385	0	2	0	0	0	0	0	1	0	1	0	0	0	1	9	17	0
NOL9	7	0	9	0	0	0	2	0	0	24	4	2	2	2	0	2	2	0	9	4	4	2	2	0	0	1	0	2	34	45	6	3	0	0	2	20	9	0	42	4	0	2	0	4	23	10	14	64	0	100	13
TAS1R1	1	86	0	0	0	0	1	0	0	0	0	0	0	23	1	1	0	0	0	1	0	1	189	1	0	0	0	0	0	0	0	34	1	0	1	0	0	0	0	35	0	0	1	0	1	0	0	0	0	0	0
ZBTB48	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL21	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0
PHF13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	1	0	0	0	0	0
DNAJC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
VAMP3	1	0	0	0	0	0	1	394	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0
RERE	1	0	0	2	0	0	1	0	0	0	0	62	0	12	1	1	0	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0
ENO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0
SLC25A33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	216	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	85	0	629	0
PIK3CD	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf200	0	0	0	0	0	0	0	30	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNBIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
LZIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
RBP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0
KIF1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGD	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DFFA	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	505	1	1	0	0	0	0	0	0	0	1	1	6	0	0	1	0	0	0	676	0	0	0	0	69	0	0	0	0	0	0
PEX14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1orf127	613	0	0	0	0	0	1	0	0	124	239	104	0	9	1	1	27	0	0	1	0	0	0	0	126	0	42	0	73	0	0	0	1	0	0	0	0	0	0	10	30	0	0	93	1	0	0	111	0	0	0
TARDBP	1	0	7	73	37	0	1	0	0	105	0	0	0	5	1	1	203	0	0	1	98	0	49	0	0	0	3	0	0	0	0	0	1	0	0	2	572	0	0	0	0	271	0	0	1	134	11	0	0	0	0
MASP2	0	0	0	49	80	0	0	0	2288	985	0	0	0	11	1	1	143	1006	0	1	64	0	359	0	0	0	106	0	0	280	0	0	231	0	0	25	0	0	0	0	0	0	0	0	1	0	2	237	0	1273	25
SRM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC10	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	0
MTOR	0	0	0	69	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MAD2L2	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf187	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTRAP	76	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf167	0	2	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	566	0	10	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFR	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	166	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLOD1	0	0	0	61	0	0	63	0	128	49	0	0	54	16	1	1	0	0	0	0	0	24	0	152	0	0	0	0	0	1	0	0	26	0	0	13	0	0	0	28	0	0	0	19	0	0	0	0	0	0	0
MFN2	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIIP	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	142	0	0	0	0	8	0	0	0
VPS13D	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	141	0	0	0	0	26	0	147	0	33	0	0	0	0	0	0	0	0	183	0	0
DHRS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
PRAMEF11	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	156	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0	478	19	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAZN	1	0	7	282	1	0	1	0	0	0	132	59	0	0	1	56	158	17	0	1	0	53	20	142	0	1	150	0	0	0	3	0	77	0	0	24	0	0	0	0	0	60	0	33	1	0	32	31	0	0	0
TMEM51	13	0	0	0	0	0	0	1	0	0	0	0	0	1	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHAD1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	13	1	0	6	38	1	0	0	0	0	0	0	0	12	1	0	1	36	0	0	0	0	0	0	1	0	1	0	0	0	95	0	0
CTRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
AGMAT	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	91	0	21	0	0	0	0	0	0	0	23	0
DDI2	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
RSC1A1	0	0	0	0	0	0	515	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	0	33	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	12	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM131C	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA2	0	0	0	1	0	0	356	1	0	0	0	0	0	1	0	0	0	0	0	0	272	0	0	0	0	0	0	0	62	14	0	0	0	0	0	13	0	0	0	0	0	0	0	64	828	0	0	0	0	0	28
